lval,op,rval,Estimate,Std. Err,z-value,p-value
F4,~~,F4,0.4872056933933262,2.952841027467437,0.16499557167526316,0.8689474675782836
F4,~~,F1,-0.013731991189128205,0.010087548441520294,-1.3612813130340096,0.17342480611140765
F4,~~,F2,-0.028984926037327063,0.017926462304370616,-1.6168793119121683,0.10590433490554907
F4,~~,F3,-0.001814009714900765,0.015885434873724742,-0.11419326755649789,0.9090845887106893
F4,~~,F5,0.002611926770593204,0.007868332786892949,0.33195428320116194,0.7399237800834184
F5,~~,F5,0.014205698209273802,0.008019458309786558,1.7714037106678955,0.07649359198881656
F5,~~,F2,0.01643380876742261,0.006630503255679432,2.4785160539462114,0.013193017386117223
F6,~~,F6,1.8630839414839365e-16,0.016496272304584593,1.129396937060268e-14,0.9999999999999909
F7,~~,F7,0.19080105774706185,0.016203217140492027,11.775504585350049,0.0
BFI_11,~~,BFI_11,1.906798243529086,0.03902917548450018,48.85571421403675,0.0
BFI_12,~~,BFI_12,1.4545678869921872,0.05306875437438997,27.409120566559338,0.0
BFI_13,~~,BFI_13,1.8723629394716816,0.038600673813639005,48.50596516689827,0.0
BFI_21,~~,BFI_21,1.886735856683997,0.0443726234749247,42.52026832958582,0.0
BFI_22,~~,BFI_22,1.8414419276901468,0.05034097335357431,36.57938663044983,0.0
BFI_23,~~,BFI_23,1.9376590634085478,0.03978418057233789,48.70425972043537,0.0
BFI_31,~~,BFI_31,1.9451900576529313,0.04349974978213687,44.71727003834409,0.0
BFI_32,~~,BFI_32,1.893278859173048,0.05079149457009947,37.27550990890373,0.0
BFI_33,~~,BFI_33,1.9917373786871977,0.04128296447139157,48.24598727688739,0.0
BFI_41,~~,BFI_41,1.4614538801898602,2.9528732442284693,0.49492604636715987,0.6206523241771313
BFI_42,~~,BFI_42,1.980842203313017,0.04038432919647288,49.04977357992049,0.0
BFI_43,~~,BFI_43,2.0235512435959366,0.04052391339920166,49.934744051295574,0.0
BFI_51,~~,BFI_51,1.9765105397325264,0.0401051252442061,49.283240674302235,0.0
BFI_52,~~,BFI_52,1.9092147695298933,0.042719404059165314,44.69198041342024,0.0
BFI_53,~~,BFI_53,1.8934821216003836,0.05140720069225211,36.833013586925944,0.0
ad_att_1,~~,ad_att_1,0.16131929998414202,0.005111941524899661,31.557344536673096,0.0
ad_att_2,~~,ad_att_2,0.17776494212423807,0.006977569094282608,25.476629424482706,0.0
ad_att_3,~~,ad_att_3,1.0892069845262426,0.022242791355074884,48.96898806852143,0.0
ad_att_4,~~,ad_att_4,1.8038283109139774,0.03613572098163554,49.91814918486833,0.0
intent_1,~~,intent_1,0.0,0.015592127193638804,0.0,1.0
intent_2,~~,intent_2,0.565433205626098,0.011335534059176703,49.881479127881846,0.0
intent_3,~~,intent_3,0.388323448029363,0.008133846531310574,47.74167381776901,0.0
