sample_id,ad_type,gender,age,education,occupation,marital_status,monthly_income,region,BFI_11,BFI_12,BFI_13,BFI_21,BFI_22,BFI_23,BFI_31,BFI_32,BFI_33,BFI_41,BFI_42,BFI_43,BFI_51,BFI_52,BFI_53,ad_att_1,ad_att_2,ad_att_3,ad_att_4,intent_1,intent_2,intent_3,configuration,source_file,row_in_source,response_id,extraversion,agreeableness,conscientiousness,neuroticism,openness,ad_attitude_core,purchase_intention_core,ad_attitude_all_items,purchase_intention_all_items
23,promotion,Male,50–59,Bachelor’s degree,Office worker,Divorced,"36,000,000–45,000,000 VND",Chinese,3,5,2,4,2,3,4,1,2,2,3,1,5,3,5,4.0,5.0,4.0,5.0,4.0,5.0,6.0,Chinese__deepseek-r1_14b,deepseek-r1_14b_promotion.csv,23,Chinese__deepseek-r1_14b__row00023,3.3333333333333335,3.0,2.3333333333333335,2.0,4.333333333333333,4.5,5.5,4.5,5.0
24,promotion,Female,30–39,High school,Student,Single,"16,000,000–25,000,000 VND",Chinese,4,2,1,5,1,3,5,2,1,1,2,4,2,1,3,4.0,3.0,3.0,3.0,3.0,3.0,4.0,Chinese__deepseek-r1_14b,deepseek-r1_14b_promotion.csv,24,Chinese__deepseek-r1_14b__row00024,2.3333333333333335,3.0,2.6666666666666665,2.3333333333333335,2.0,3.5,3.5,3.25,3.3333333333333335
25,promotion,Female,>60,Postgraduate degree,Blue-collar worker,Living with parents,"36,000,000–45,000,000 VND",Chinese,5,4,5,5,1,5,3,1,5,3,5,1,1,2,2,3.0,4.0,3.0,4.0,2.0,3.0,4.0,Chinese__deepseek-r1_14b,deepseek-r1_14b_promotion.csv,25,Chinese__deepseek-r1_14b__row00025,4.666666666666667,3.6666666666666665,3.0,3.0,1.6666666666666667,3.5,3.5,3.5,3.0
26,promotion,Female,20–29,Bachelor’s degree,Office worker,Living with parents,">46,000,000 VND",Chinese,2,4,1,1,1,5,2,5,1,1,1,1,3,4,3,4.0,5.0,3.0,4.0,4.0,5.0,6.0,Chinese__deepseek-r1_14b,deepseek-r1_14b_promotion.csv,26,Chinese__deepseek-r1_14b__row00026,2.3333333333333335,2.3333333333333335,2.6666666666666665,1.0,3.3333333333333335,4.5,5.5,4.0,5.0
27,promotion,Male,40–49,Bachelor’s degree,Managerial employee,Living with parents,"<15,000,000 VND",Chinese,1,1,3,2,5,1,1,3,5,4,3,3,4,1,2,3.0,4.0,5.0,6.0,4.0,4.0,4.0,Chinese__deepseek-r1_14b,deepseek-r1_14b_promotion.csv,27,Chinese__deepseek-r1_14b__row00027,1.6666666666666667,2.6666666666666665,3.0,3.3333333333333335,2.3333333333333335,3.5,4.0,4.5,4.0
28,promotion,Male,<20,High school,Blue-collar worker,Living with parents,"<15,000,000 VND",Chinese,4,5,2,1,2,3,4,3,4,2,2,1,2,3,2,3.0,3.0,3.0,4.0,2.0,3.0,3.0,Chinese__deepseek-r1_14b,deepseek-r1_14b_promotion.csv,28,Chinese__deepseek-r1_14b__row00028,3.6666666666666665,2.0,3.6666666666666665,1.6666666666666667,2.3333333333333335,3.0,3.0,3.25,2.6666666666666665
29,promotion,Male,20–29,Postgraduate degree,Student,Married,"16,000,000–25,000,000 VND",Chinese,2,3,3,3,1,5,4,4,3,5,3,3,4,3,2,4.0,5.0,4.0,5.0,3.0,4.0,5.0,Chinese__deepseek-r1_14b,deepseek-r1_14b_promotion.csv,29,Chinese__deepseek-r1_14b__row00029,2.6666666666666665,3.0,3.6666666666666665,3.6666666666666665,3.0,4.5,4.5,4.5,4.0
30,promotion,Male,50–59,Bachelor’s degree,Civil servant,Divorced,"26,000,000–35,000,000 VND",Chinese,2,3,1,3,4,2,3,5,4,4,2,4,3,4,3,4.0,3.0,5.0,4.0,3.0,4.0,5.0,Chinese__deepseek-r1_14b,deepseek-r1_14b_promotion.csv,30,Chinese__deepseek-r1_14b__row00030,2.0,3.0,4.0,3.3333333333333335,3.3333333333333335,3.5,4.5,4.0,4.0
31,promotion,Male,<20,Bachelor’s degree,Student,Married,">46,000,000 VND",Chinese,2,1,5,5,3,2,5,2,5,4,1,3,3,4,1,3.0,4.0,4.0,3.0,2.0,2.0,3.0,Chinese__deepseek-r1_14b,deepseek-r1_14b_promotion.csv,31,Chinese__deepseek-r1_14b__row00031,2.6666666666666665,3.3333333333333335,4.0,2.6666666666666665,2.6666666666666665,3.5,2.5,3.5,2.3333333333333335
32,promotion,Female,<20,High school,Student,Married,">46,000,000 VND",Chinese,3,1,1,2,4,5,4,3,1,1,5,4,5,3,5,3.0,4.0,3.0,3.0,2.0,3.0,4.0,Chinese__deepseek-r1_14b,deepseek-r1_14b_promotion.csv,32,Chinese__deepseek-r1_14b__row00032,1.6666666666666667,3.6666666666666665,2.6666666666666665,3.3333333333333335,4.333333333333333,3.5,3.5,3.25,3.0
33,promotion,Female,40–49,Bachelor’s degree,Office worker,Divorced,"26,000,000–35,000,000 VND",Chinese,1,1,4,3,3,2,3,1,1,5,3,3,1,2,3,3.0,4.0,3.0,4.0,2.0,3.0,4.0,Chinese__deepseek-r1_14b,deepseek-r1_14b_promotion.csv,33,Chinese__deepseek-r1_14b__row00033,2.0,2.6666666666666665,1.6666666666666667,3.6666666666666665,2.0,3.5,3.5,3.5,3.0
34,promotion,Female,<20,Postgraduate degree,Civil servant,Living with parents,"36,000,000–45,000,000 VND",Chinese,3,3,2,2,3,2,2,3,1,2,2,4,4,4,4,3.0,4.0,5.0,6.0,3.0,4.0,5.0,Chinese__deepseek-r1_14b,deepseek-r1_14b_promotion.csv,34,Chinese__deepseek-r1_14b__row00034,2.6666666666666665,2.3333333333333335,2.0,2.6666666666666665,4.0,3.5,4.5,4.5,4.0
35,promotion,Male,40–49,Bachelor’s degree,Managerial employee,Divorced,"16,000,000–25,000,000 VND",Chinese,5,4,1,2,5,5,2,2,4,3,4,4,1,4,4,4.0,3.0,5.0,4.0,4.0,5.0,5.0,Chinese__deepseek-r1_14b,deepseek-r1_14b_promotion.csv,35,Chinese__deepseek-r1_14b__row00035,3.3333333333333335,4.0,2.6666666666666665,3.6666666666666665,3.0,3.5,5.0,4.0,4.666666666666667
36,promotion,Female,<20,Postgraduate degree,Other,Married,"16,000,000–25,000,000 VND",Chinese,5,3,5,5,1,4,5,3,4,1,1,5,5,1,4,3.0,4.0,4.0,5.0,4.0,4.0,5.0,Chinese__deepseek-r1_14b,deepseek-r1_14b_promotion.csv,36,Chinese__deepseek-r1_14b__row00036,4.333333333333333,3.3333333333333335,4.0,2.3333333333333335,3.3333333333333335,3.5,4.5,4.0,4.333333333333333
37,promotion,Male,<20,High school,Blue-collar worker,Single,"36,000,000–45,000,000 VND",Chinese,5,4,1,2,2,4,3,3,2,5,2,3,5,5,1,5.0,6.0,5.0,6.0,4.0,5.0,6.0,Chinese__deepseek-r1_14b,deepseek-r1_14b_promotion.csv,37,Chinese__deepseek-r1_14b__row00037,3.3333333333333335,2.6666666666666665,2.6666666666666665,3.3333333333333335,3.6666666666666665,5.5,5.5,5.5,5.0
38,promotion,Female,<20,Postgraduate degree,Managerial employee,Single,"36,000,000–45,000,000 VND",Chinese,5,2,5,4,2,1,2,3,4,3,3,2,2,5,5,3.0,4.0,3.0,5.0,2.0,3.0,4.0,Chinese__deepseek-r1_14b,deepseek-r1_14b_promotion.csv,38,Chinese__deepseek-r1_14b__row00038,4.0,2.3333333333333335,3.0,2.6666666666666665,4.0,3.5,3.5,3.75,3.0
39,promotion,Female,<20,High school,Student,Divorced,"26,000,000–35,000,000 VND",Chinese,5,4,1,3,2,2,5,4,2,5,5,2,2,2,5,3.0,4.0,3.0,4.0,2.0,2.0,5.0,Chinese__deepseek-r1_14b,deepseek-r1_14b_promotion.csv,39,Chinese__deepseek-r1_14b__row00039,3.3333333333333335,2.3333333333333335,3.6666666666666665,4.0,3.0,3.5,3.5,3.5,3.0
40,promotion,Male,>60,High school,Blue-collar worker,Single,"26,000,000–35,000,000 VND",Chinese,5,2,3,1,4,1,5,1,3,3,5,1,1,1,4,3.0,4.0,3.0,3.0,2.0,3.0,4.0,Chinese__deepseek-r1_14b,deepseek-r1_14b_promotion.csv,40,Chinese__deepseek-r1_14b__row00040,3.3333333333333335,2.0,3.0,3.0,2.0,3.5,3.5,3.25,3.0
41,promotion,Male,>60,Bachelor’s degree,Blue-collar worker,Single,"<15,000,000 VND",Chinese,1,2,2,1,4,3,5,1,3,2,1,1,5,3,2,3.0,4.0,3.0,4.0,2.0,3.0,4.0,Chinese__deepseek-r1_14b,deepseek-r1_14b_promotion.csv,41,Chinese__deepseek-r1_14b__row00041,1.6666666666666667,2.6666666666666665,3.0,1.3333333333333333,3.3333333333333335,3.5,3.5,3.5,3.0
42,promotion,Male,20–29,High school,Managerial employee,Single,">46,000,000 VND",Chinese,3,4,3,4,2,2,3,1,2,2,4,5,2,2,3,3.0,2.0,3.0,4.0,3.0,4.0,5.0,Chinese__deepseek-r1_14b,deepseek-r1_14b_promotion.csv,42,Chinese__deepseek-r1_14b__row00042,3.3333333333333335,2.6666666666666665,2.0,3.6666666666666665,2.3333333333333335,2.5,4.5,3.0,4.0
43,promotion,Female,40–49,Postgraduate degree,Managerial employee,Divorced,"26,000,000–35,000,000 VND",Chinese,4,2,1,3,3,2,4,1,2,3,2,2,4,4,1,3.0,4.0,3.0,4.0,3.0,4.0,3.0,Chinese__deepseek-r1_14b,deepseek-r1_14b_promotion.csv,43,Chinese__deepseek-r1_14b__row00043,2.3333333333333335,2.6666666666666665,2.3333333333333335,2.3333333333333335,3.0,3.5,3.5,3.5,3.3333333333333335
44,promotion,Male,<20,Postgraduate degree,Office worker,Married,"16,000,000–25,000,000 VND",Chinese,5,2,4,1,5,5,4,3,2,4,4,2,2,4,4,4.0,4.0,5.0,4.0,3.0,4.0,5.0,Chinese__deepseek-r1_14b,deepseek-r1_14b_promotion.csv,44,Chinese__deepseek-r1_14b__row00044,3.6666666666666665,3.6666666666666665,3.0,3.3333333333333335,3.3333333333333335,4.0,4.5,4.25,4.0
45,promotion,Male,30–39,High school,Student,Married,"36,000,000–45,000,000 VND",Chinese,2,4,3,3,1,1,1,1,2,1,1,1,3,1,4,4.0,3.0,5.0,4.0,3.0,5.0,6.0,Chinese__deepseek-r1_14b,deepseek-r1_14b_promotion.csv,45,Chinese__deepseek-r1_14b__row00045,3.0,1.6666666666666667,1.3333333333333333,1.0,2.6666666666666665,3.5,5.5,4.0,4.666666666666667
46,promotion,Female,>60,Bachelor’s degree,Other,Divorced,"26,000,000–35,000,000 VND",Chinese,5,4,3,3,5,2,3,4,5,5,3,3,5,1,4,5.0,4.0,5.0,6.0,4.0,5.0,4.0,Chinese__deepseek-r1_14b,deepseek-r1_14b_promotion.csv,46,Chinese__deepseek-r1_14b__row00046,4.0,3.3333333333333335,4.0,3.6666666666666665,3.3333333333333335,4.5,4.5,5.0,4.333333333333333
47,promotion,Male,>60,Postgraduate degree,Blue-collar worker,Single,">46,000,000 VND",Chinese,2,2,5,4,3,5,5,4,3,4,5,1,4,3,1,3.0,2.0,4.0,3.0,2.0,3.0,4.0,Chinese__deepseek-r1_14b,deepseek-r1_14b_promotion.csv,47,Chinese__deepseek-r1_14b__row00047,3.0,4.0,4.0,3.3333333333333335,2.6666666666666665,2.5,3.5,3.0,3.0
48,promotion,Female,40–49,Bachelor’s degree,Office worker,Living with parents,"36,000,000–45,000,000 VND",Chinese,3,2,2,5,2,4,5,4,4,5,3,1,2,4,2,3.0,4.0,3.0,3.0,2.0,3.0,4.0,Chinese__deepseek-r1_14b,deepseek-r1_14b_promotion.csv,48,Chinese__deepseek-r1_14b__row00048,2.3333333333333335,3.6666666666666665,4.333333333333333,3.0,2.6666666666666665,3.5,3.5,3.25,3.0
49,promotion,Female,50–59,Bachelor’s degree,Office worker,Single,"26,000,000–35,000,000 VND",Chinese,1,1,3,3,4,3,1,2,5,1,5,5,3,2,5,3.0,4.0,3.0,3.0,3.0,3.0,4.0,Chinese__deepseek-r1_14b,deepseek-r1_14b_promotion.csv,49,Chinese__deepseek-r1_14b__row00049,1.6666666666666667,3.3333333333333335,2.6666666666666665,3.6666666666666665,3.3333333333333335,3.5,3.5,3.25,3.3333333333333335
50,promotion,Male,50–59,High school,Student,Living with parents,"<15,000,000 VND",Chinese,2,4,5,5,4,5,3,2,1,4,4,1,5,5,5,4.0,5.0,3.0,4.0,3.0,4.0,3.0,Chinese__deepseek-r1_14b,deepseek-r1_14b_promotion.csv,50,Chinese__deepseek-r1_14b__row00050,3.6666666666666665,4.666666666666667,2.0,3.0,5.0,4.5,3.5,4.0,3.3333333333333335
51,promotion,Female,40–49,Bachelor’s degree,Blue-collar worker,Married,"<15,000,000 VND",Chinese,4,3,3,2,2,4,2,3,5,2,4,5,1,4,5,4.0,5.0,4.0,5.0,4.0,5.0,6.0,Chinese__deepseek-r1_14b,deepseek-r1_14b_promotion.csv,51,Chinese__deepseek-r1_14b__row00051,3.3333333333333335,2.6666666666666665,3.3333333333333335,3.6666666666666665,3.3333333333333335,4.5,5.5,4.5,5.0
52,promotion,Male,40–49,Postgraduate degree,Blue-collar worker,Single,"<15,000,000 VND",Chinese,4,1,2,4,5,4,3,4,5,2,5,5,5,1,5,3.0,4.0,3.0,4.0,2.0,3.0,4.0,Chinese__deepseek-r1_14b,deepseek-r1_14b_promotion.csv,52,Chinese__deepseek-r1_14b__row00052,2.3333333333333335,4.333333333333333,4.0,4.0,3.6666666666666665,3.5,3.5,3.5,3.0
53,promotion,Female,<20,Bachelor’s degree,Student,Living with parents,">46,000,000 VND",Chinese,5,3,5,1,4,3,4,1,5,3,2,4,3,5,3,4.0,3.0,4.0,6.0,3.0,4.0,5.0,Chinese__deepseek-r1_14b,deepseek-r1_14b_promotion.csv,53,Chinese__deepseek-r1_14b__row00053,4.333333333333333,2.6666666666666665,3.3333333333333335,3.0,3.6666666666666665,3.5,4.5,4.25,4.0
54,promotion,Male,20–29,Postgraduate degree,Blue-collar worker,Divorced,"36,000,000–45,000,000 VND",Chinese,4,4,5,4,5,1,3,4,4,5,2,1,4,1,3,4.0,5.0,4.0,4.0,5.0,5.0,6.0,Chinese__deepseek-r1_14b,deepseek-r1_14b_promotion.csv,54,Chinese__deepseek-r1_14b__row00054,4.333333333333333,3.3333333333333335,3.6666666666666665,2.6666666666666665,2.6666666666666665,4.5,5.5,4.25,5.333333333333333
55,promotion,Male,40–49,High school,Blue-collar worker,Married,"<15,000,000 VND",Chinese,2,5,2,5,2,4,1,4,1,3,5,1,4,4,5,3.0,4.0,3.0,4.0,2.0,3.0,4.0,Chinese__deepseek-r1_14b,deepseek-r1_14b_promotion.csv,55,Chinese__deepseek-r1_14b__row00055,3.0,3.6666666666666665,2.0,3.0,4.333333333333333,3.5,3.5,3.5,3.0
56,promotion,Female,>60,Postgraduate degree,Civil servant,Living with parents,"36,000,000–45,000,000 VND",Chinese,5,4,1,1,1,1,5,5,5,3,1,3,3,1,5,4.0,3.0,2.0,3.0,2.0,3.0,4.0,Chinese__deepseek-r1_14b,deepseek-r1_14b_promotion.csv,56,Chinese__deepseek-r1_14b__row00056,3.3333333333333335,1.0,5.0,2.3333333333333335,3.0,3.5,3.5,3.0,3.0
57,promotion,Female,20–29,High school,Blue-collar worker,Single,"16,000,000–25,000,000 VND",Chinese,4,3,3,1,2,5,1,1,3,2,5,5,4,4,4,4.0,5.0,4.0,6.0,3.0,4.0,5.0,Chinese__deepseek-r1_14b,deepseek-r1_14b_promotion.csv,57,Chinese__deepseek-r1_14b__row00057,3.3333333333333335,2.6666666666666665,1.6666666666666667,4.0,4.0,4.5,4.5,4.75,4.0
58,promotion,Male,20–29,Postgraduate degree,Civil servant,Single,"36,000,000–45,000,000 VND",Chinese,4,4,5,4,3,1,5,5,4,5,4,5,5,4,2,5.0,6.0,4.0,5.0,3.0,4.0,5.0,Chinese__deepseek-r1_14b,deepseek-r1_14b_promotion.csv,58,Chinese__deepseek-r1_14b__row00058,4.333333333333333,2.6666666666666665,4.666666666666667,4.666666666666667,3.6666666666666665,5.5,4.5,5.0,4.0
59,promotion,Male,>60,Postgraduate degree,Civil servant,Divorced,"36,000,000–45,000,000 VND",Chinese,2,2,5,4,5,5,2,1,2,3,3,4,3,4,4,3.0,4.0,5.0,4.0,2.0,3.0,4.0,Chinese__deepseek-r1_14b,deepseek-r1_14b_promotion.csv,59,Chinese__deepseek-r1_14b__row00059,3.0,4.666666666666667,1.6666666666666667,3.3333333333333335,3.6666666666666665,3.5,3.5,4.0,3.0
60,promotion,Female,>60,Postgraduate degree,Student,Living with parents,"<15,000,000 VND",Chinese,4,2,1,4,1,4,4,1,3,3,4,4,4,2,2,3.0,2.0,2.0,3.0,2.0,3.0,4.0,Chinese__deepseek-r1_14b,deepseek-r1_14b_promotion.csv,60,Chinese__deepseek-r1_14b__row00060,2.3333333333333335,3.0,2.6666666666666665,3.6666666666666665,2.6666666666666665,2.5,3.5,2.5,3.0
61,promotion,Male,>60,Postgraduate degree,Other,Married,"16,000,000–25,000,000 VND",Chinese,2,2,3,1,5,1,5,3,4,5,3,1,2,5,2,3.0,4.0,3.0,5.0,2.0,3.0,4.0,Chinese__deepseek-r1_14b,deepseek-r1_14b_promotion.csv,61,Chinese__deepseek-r1_14b__row00061,2.3333333333333335,2.3333333333333335,4.0,3.0,3.0,3.5,3.5,3.75,3.0
62,promotion,Male,<20,Postgraduate degree,Blue-collar worker,Married,"36,000,000–45,000,000 VND",Chinese,2,3,4,1,5,1,5,2,4,1,4,4,5,2,3,4.0,3.0,4.0,3.0,2.0,2.0,5.0,Chinese__deepseek-r1_14b,deepseek-r1_14b_promotion.csv,62,Chinese__deepseek-r1_14b__row00062,3.0,2.3333333333333335,3.6666666666666665,3.0,3.3333333333333335,3.5,3.5,3.5,3.0
