sample_id,ad_type,gender,age,education,occupation,marital_status,monthly_income,region,BFI_11,BFI_12,BFI_13,BFI_21,BFI_22,BFI_23,BFI_31,BFI_32,BFI_33,BFI_41,BFI_42,BFI_43,BFI_51,BFI_52,BFI_53,ad_att_1,ad_att_2,ad_att_3,ad_att_4,intent_1,intent_2,intent_3,run,source_file,model,response_id,extraversion,agreeableness,conscientiousness,neuroticism,openness,ad_attitude_core,purchase_intention_core,ad_attitude_all_items,purchase_intention_all_items
11,promotion,Female,30–39,Postgraduate degree,Other,Living with parents,"16,000,000–25,000,000 VND",Chinese,1,4,4,4,3,5,4,4,5,5,2,4,3,4,2,5,6,6,4,3.0,2.0,4.0,1,deepseek-v2_236b_1.csv,deepseek-v2_236b,deepseek-v2_236b__run01__sample11__promotion,3.0,4.0,4.333333333333333,3.6666666666666665,3.0,5.5,3.0,5.25,3.0
12,promotion,Female,>60,Bachelor’s degree,Other,Married,"36,000,000–45,000,000 VND",Chinese,1,2,1,4,2,1,2,5,2,5,2,2,5,4,5,2,3,4,3,1.0,1.0,2.0,1,deepseek-v2_236b_1.csv,deepseek-v2_236b,deepseek-v2_236b__run01__sample12__promotion,1.3333333333333333,2.3333333333333335,3.0,3.0,4.666666666666667,2.5,1.5,3.0,1.3333333333333333
13,promotion,Male,40–49,High school,Office worker,Divorced,"26,000,000–35,000,000 VND",Chinese,1,4,4,5,4,1,4,1,5,2,3,3,2,2,4,3,4,4,5,2.0,3.0,4.0,1,deepseek-v2_236b_1.csv,deepseek-v2_236b,deepseek-v2_236b__run01__sample13__promotion,3.0,3.3333333333333335,3.3333333333333335,2.6666666666666665,2.6666666666666665,3.5,3.5,4.0,3.0
14,promotion,Male,40–49,Bachelor’s degree,Blue-collar worker,Married,"36,000,000–45,000,000 VND",Chinese,1,4,3,4,2,5,3,3,4,3,5,1,2,4,4,4,5,5,3,2.0,1.0,3.0,1,deepseek-v2_236b_1.csv,deepseek-v2_236b,deepseek-v2_236b__run01__sample14__promotion,2.6666666666666665,3.6666666666666665,3.3333333333333335,3.0,3.3333333333333335,4.5,2.0,4.25,2.0
15,promotion,Female,50–59,Bachelor’s degree,Managerial employee,Divorced,"<15,000,000 VND",Chinese,2,5,3,4,1,2,5,5,5,4,2,5,4,1,3,3,4,4,5,2.0,3.0,3.0,1,deepseek-v2_236b_1.csv,deepseek-v2_236b,deepseek-v2_236b__run01__sample15__promotion,3.3333333333333335,2.3333333333333335,5.0,3.6666666666666665,2.6666666666666665,3.5,3.0,4.0,2.6666666666666665
16,promotion,Male,40–49,Postgraduate degree,Office worker,Married,">46,000,000 VND",Chinese,4,4,4,1,5,5,3,2,1,5,5,1,4,5,4,5,6,4,3,2.0,1.0,4.0,1,deepseek-v2_236b_1.csv,deepseek-v2_236b,deepseek-v2_236b__run01__sample16__promotion,4.0,3.6666666666666665,2.0,3.6666666666666665,4.333333333333333,5.5,2.5,4.5,2.3333333333333335
17,promotion,Male,20–29,High school,Civil servant,Single,"<15,000,000 VND",Chinese,1,2,4,4,4,5,2,2,1,5,4,2,5,5,3,3,4,4,5,1.0,2.0,3.0,1,deepseek-v2_236b_1.csv,deepseek-v2_236b,deepseek-v2_236b__run01__sample17__promotion,2.3333333333333335,4.333333333333333,1.6666666666666667,3.6666666666666665,4.333333333333333,3.5,2.5,4.0,2.0
18,promotion,Male,30–39,Postgraduate degree,Office worker,Single,"<15,000,000 VND",Chinese,5,3,5,5,5,2,3,4,3,5,3,5,1,2,3,5,4,3,2,1.0,2.0,3.0,1,deepseek-v2_236b_1.csv,deepseek-v2_236b,deepseek-v2_236b__run01__sample18__promotion,4.333333333333333,4.0,3.3333333333333335,4.333333333333333,2.0,4.5,2.5,3.5,2.0
19,promotion,Female,20–29,High school,Civil servant,Single,"16,000,000–25,000,000 VND",Chinese,1,4,5,1,4,2,4,2,1,4,1,3,5,3,2,3,4,4,5,1.0,2.0,3.0,1,deepseek-v2_236b_1.csv,deepseek-v2_236b,deepseek-v2_236b__run01__sample19__promotion,3.3333333333333335,2.3333333333333335,2.3333333333333335,2.6666666666666665,3.3333333333333335,3.5,2.5,4.0,2.0
20,promotion,Male,40–49,High school,Student,Married,">46,000,000 VND",Chinese,3,5,4,1,4,2,5,4,1,3,1,4,1,1,3,4,5,4,3,2.0,1.0,3.0,1,deepseek-v2_236b_1.csv,deepseek-v2_236b,deepseek-v2_236b__run01__sample20__promotion,4.0,2.3333333333333335,3.3333333333333335,2.6666666666666665,1.6666666666666667,4.5,2.0,4.0,2.0
21,promotion,Female,30–39,Postgraduate degree,Office worker,Married,"16,000,000–25,000,000 VND",Chinese,3,2,4,3,1,5,5,5,2,2,1,3,5,2,2,3,4,3,5,1.0,2.0,3.0,1,deepseek-v2_236b_1.csv,deepseek-v2_236b,deepseek-v2_236b__run01__sample21__promotion,3.0,3.0,4.0,2.0,3.0,3.5,2.5,3.75,2.0
22,promotion,Male,40–49,High school,Blue-collar worker,Divorced,"16,000,000–25,000,000 VND",Chinese,5,2,2,4,1,4,2,4,2,5,1,3,5,5,2,3,4,2,5,1.0,2.0,3.0,1,deepseek-v2_236b_1.csv,deepseek-v2_236b,deepseek-v2_236b__run01__sample22__promotion,3.0,3.0,2.6666666666666665,3.0,4.0,3.5,2.5,3.5,2.0
23,promotion,Female,30–39,High school,Student,Divorced,"36,000,000–45,000,000 VND",Chinese,5,2,2,5,3,1,4,5,2,4,2,2,2,5,1,3,4,5,4,2.0,3.0,4.0,1,deepseek-v2_236b_1.csv,deepseek-v2_236b,deepseek-v2_236b__run01__sample23__promotion,3.0,3.0,3.6666666666666665,2.6666666666666665,2.6666666666666665,3.5,3.5,4.0,3.0
24,promotion,Male,40–49,High school,Student,Single,"26,000,000–35,000,000 VND",Chinese,1,1,1,2,3,1,3,4,1,3,5,5,2,1,1,2,3,4,1,1.0,1.0,2.0,1,deepseek-v2_236b_1.csv,deepseek-v2_236b,deepseek-v2_236b__run01__sample24__promotion,1.0,2.0,2.6666666666666665,4.333333333333333,1.3333333333333333,2.5,1.5,2.5,1.3333333333333333
25,promotion,Male,40–49,Postgraduate degree,Other,Married,"16,000,000–25,000,000 VND",Chinese,1,3,1,1,2,3,2,2,1,5,4,2,3,4,4,2,3,4,3,1.0,2.0,3.0,1,deepseek-v2_236b_1.csv,deepseek-v2_236b,deepseek-v2_236b__run01__sample25__promotion,1.6666666666666667,2.0,1.6666666666666667,3.6666666666666665,3.6666666666666665,2.5,2.5,3.0,2.0
26,promotion,Male,<20,Postgraduate degree,Office worker,Living with parents,"36,000,000–45,000,000 VND",Chinese,3,1,4,2,1,2,5,3,4,3,3,5,4,2,1,4,3,3,2,1.0,2.0,3.0,1,deepseek-v2_236b_1.csv,deepseek-v2_236b,deepseek-v2_236b__run01__sample26__promotion,2.6666666666666665,1.6666666666666667,4.0,3.6666666666666665,2.3333333333333335,3.5,2.5,3.0,2.0
27,promotion,Male,40–49,High school,Blue-collar worker,Living with parents,"16,000,000–25,000,000 VND",Chinese,1,2,1,3,5,2,3,5,4,3,1,4,4,2,2,3,4,3,5,2.0,2.0,3.0,1,deepseek-v2_236b_1.csv,deepseek-v2_236b,deepseek-v2_236b__run01__sample27__promotion,1.3333333333333333,3.3333333333333335,4.0,2.6666666666666665,2.6666666666666665,3.5,2.5,3.75,2.3333333333333335
28,promotion,Male,30–39,Bachelor’s degree,Managerial employee,Married,"16,000,000–25,000,000 VND",Chinese,3,4,5,5,4,2,3,4,3,2,4,2,5,2,2,4,5,4,3,2.0,1.0,3.0,1,deepseek-v2_236b_1.csv,deepseek-v2_236b,deepseek-v2_236b__run01__sample28__promotion,4.0,3.6666666666666665,3.3333333333333335,2.6666666666666665,3.0,4.5,2.0,4.0,2.0
29,promotion,Female,>60,High school,Civil servant,Married,"16,000,000–25,000,000 VND",Chinese,4,4,2,4,4,3,3,5,4,2,4,2,2,4,2,4,5,3,2,1.0,2.0,3.0,1,deepseek-v2_236b_1.csv,deepseek-v2_236b,deepseek-v2_236b__run01__sample29__promotion,3.3333333333333335,3.6666666666666665,4.0,2.6666666666666665,2.6666666666666665,4.5,2.5,3.5,2.0
30,promotion,Male,<20,Bachelor’s degree,Civil servant,Married,"16,000,000–25,000,000 VND",Chinese,5,4,4,3,1,5,4,4,4,2,5,2,2,5,2,4,5,3,4,2.0,1.0,3.0,1,deepseek-v2_236b_1.csv,deepseek-v2_236b,deepseek-v2_236b__run01__sample30__promotion,4.333333333333333,3.0,4.0,3.0,3.0,4.5,2.0,4.0,2.0
31,promotion,Male,>60,Bachelor’s degree,Managerial employee,Living with parents,"16,000,000–25,000,000 VND",Chinese,5,5,1,1,1,5,4,3,5,4,5,5,2,2,5,3,4,4,5,1.0,2.0,3.0,1,deepseek-v2_236b_1.csv,deepseek-v2_236b,deepseek-v2_236b__run01__sample31__promotion,3.6666666666666665,2.3333333333333335,4.0,4.666666666666667,3.0,3.5,2.5,4.0,2.0
32,promotion,Female,50–59,Postgraduate degree,Other,Married,">46,000,000 VND",Chinese,3,1,4,3,5,2,5,4,3,2,5,1,4,1,1,3,4,2,5,1.0,2.0,3.0,1,deepseek-v2_236b_1.csv,deepseek-v2_236b,deepseek-v2_236b__run01__sample32__promotion,2.6666666666666665,3.3333333333333335,4.0,2.6666666666666665,2.0,3.5,2.5,3.5,2.0
33,promotion,Male,>60,High school,Office worker,Divorced,"<15,000,000 VND",Chinese,3,2,3,3,4,4,1,5,5,1,3,3,5,1,2,3,4,3,5,2.0,1.0,3.0,1,deepseek-v2_236b_1.csv,deepseek-v2_236b,deepseek-v2_236b__run01__sample33__promotion,2.6666666666666665,3.6666666666666665,3.6666666666666665,2.3333333333333335,2.6666666666666665,3.5,2.0,3.75,2.0
34,promotion,Male,<20,High school,Managerial employee,Living with parents,"36,000,000–45,000,000 VND",Chinese,2,3,5,1,4,5,5,4,1,5,2,4,2,4,4,4,5,6,3,2.0,1.0,4.0,1,deepseek-v2_236b_1.csv,deepseek-v2_236b,deepseek-v2_236b__run01__sample34__promotion,3.3333333333333335,3.3333333333333335,3.3333333333333335,3.6666666666666665,3.3333333333333335,4.5,2.5,4.5,2.3333333333333335
35,promotion,Female,>60,Postgraduate degree,Managerial employee,Divorced,"16,000,000–25,000,000 VND",Chinese,1,3,1,3,1,2,1,1,4,5,5,1,1,4,2,2,3,4,3,1.0,2.0,3.0,1,deepseek-v2_236b_1.csv,deepseek-v2_236b,deepseek-v2_236b__run01__sample35__promotion,1.6666666666666667,2.0,2.0,3.6666666666666665,2.3333333333333335,2.5,2.5,3.0,2.0
36,promotion,Male,40–49,Bachelor’s degree,Civil servant,Married,">46,000,000 VND",Chinese,5,4,1,5,4,3,5,3,5,1,1,4,1,3,5,4,5,6,3,,,,1,deepseek-v2_236b_1.csv,deepseek-v2_236b,deepseek-v2_236b__run01__sample36__promotion,3.3333333333333335,4.0,4.333333333333333,2.0,3.0,4.5,,4.5,
37,promotion,Male,30–39,High school,Other,Divorced,"<15,000,000 VND",Chinese,3,3,3,4,1,1,2,1,5,5,3,1,5,3,1,3,4,2,5,1.0,1.0,2.0,1,deepseek-v2_236b_1.csv,deepseek-v2_236b,deepseek-v2_236b__run01__sample37__promotion,3.0,2.0,2.6666666666666665,3.0,3.0,3.5,1.5,3.5,1.3333333333333333
38,promotion,Male,30–39,High school,Civil servant,Living with parents,"16,000,000–25,000,000 VND",Chinese,3,4,4,2,2,4,1,5,1,2,2,4,4,1,4,5,6,4,3,2.0,1.0,4.0,1,deepseek-v2_236b_1.csv,deepseek-v2_236b,deepseek-v2_236b__run01__sample38__promotion,3.6666666666666665,2.6666666666666665,2.3333333333333335,2.6666666666666665,3.0,5.5,2.5,4.5,2.3333333333333335
39,promotion,Male,>60,Bachelor’s degree,Civil servant,Living with parents,"26,000,000–35,000,000 VND",Chinese,1,5,5,2,3,3,1,3,5,1,1,3,3,1,4,3,4,2,5,1.0,2.0,3.0,1,deepseek-v2_236b_1.csv,deepseek-v2_236b,deepseek-v2_236b__run01__sample39__promotion,3.6666666666666665,2.6666666666666665,3.0,1.6666666666666667,2.6666666666666665,3.5,2.5,3.5,2.0
40,promotion,Female,50–59,Postgraduate degree,Blue-collar worker,Living with parents,"36,000,000–45,000,000 VND",Chinese,1,4,4,2,3,5,5,2,3,5,5,2,3,4,5,4,5,3,6,2.0,1.0,3.0,1,deepseek-v2_236b_1.csv,deepseek-v2_236b,deepseek-v2_236b__run01__sample40__promotion,3.0,3.3333333333333335,3.3333333333333335,4.0,4.0,4.5,2.0,4.5,2.0
41,promotion,Female,40–49,Postgraduate degree,Blue-collar worker,Divorced,"26,000,000–35,000,000 VND",Chinese,4,5,1,3,3,5,3,4,5,3,3,4,1,4,1,3,4,2,5,1.0,2.0,3.0,1,deepseek-v2_236b_1.csv,deepseek-v2_236b,deepseek-v2_236b__run01__sample41__promotion,3.3333333333333335,3.6666666666666665,4.0,3.3333333333333335,2.0,3.5,2.5,3.5,2.0
42,promotion,Female,50–59,High school,Managerial employee,Living with parents,"26,000,000–35,000,000 VND",Chinese,1,1,5,1,5,1,3,1,4,3,2,2,4,5,2,3,4,3,5,2.0,1.0,3.0,1,deepseek-v2_236b_1.csv,deepseek-v2_236b,deepseek-v2_236b__run01__sample42__promotion,2.3333333333333335,2.3333333333333335,2.6666666666666665,2.3333333333333335,3.6666666666666665,3.5,2.0,3.75,2.0
43,promotion,Female,50–59,Postgraduate degree,Student,Single,"36,000,000–45,000,000 VND",Chinese,4,5,3,4,4,1,4,2,5,2,2,2,2,3,1,4,5,5,3,2.0,3.0,3.0,1,deepseek-v2_236b_1.csv,deepseek-v2_236b,deepseek-v2_236b__run01__sample43__promotion,4.0,3.0,3.6666666666666665,2.0,2.0,4.5,3.0,4.25,2.6666666666666665
44,promotion,Male,40–49,High school,Student,Living with parents,">46,000,000 VND",Chinese,1,2,3,5,3,1,4,2,4,1,4,5,3,5,2,3,4,5,4,2.0,3.0,4.0,1,deepseek-v2_236b_1.csv,deepseek-v2_236b,deepseek-v2_236b__run01__sample44__promotion,2.0,3.0,3.3333333333333335,3.3333333333333335,3.3333333333333335,3.5,3.5,4.0,3.0
45,promotion,Female,>60,Bachelor’s degree,Civil servant,Married,"<15,000,000 VND",Chinese,4,2,2,5,3,1,3,5,3,3,1,2,5,3,1,3,4,3,5,1.0,2.0,3.0,1,deepseek-v2_236b_1.csv,deepseek-v2_236b,deepseek-v2_236b__run01__sample45__promotion,2.6666666666666665,3.0,3.6666666666666665,2.0,3.0,3.5,2.5,3.75,2.0
46,promotion,Male,20–29,High school,Other,Divorced,"16,000,000–25,000,000 VND",Chinese,1,1,4,3,4,5,3,3,4,3,1,5,3,5,3,3,4,4,5,1.0,2.0,3.0,1,deepseek-v2_236b_1.csv,deepseek-v2_236b,deepseek-v2_236b__run01__sample46__promotion,2.0,4.0,3.3333333333333335,3.0,3.6666666666666665,3.5,2.5,4.0,2.0
47,promotion,Female,40–49,Bachelor’s degree,Civil servant,Living with parents,"36,000,000–45,000,000 VND",Chinese,4,4,3,5,3,5,2,1,5,2,3,3,2,5,4,5,4,3,6,2.0,1.0,3.0,1,deepseek-v2_236b_1.csv,deepseek-v2_236b,deepseek-v2_236b__run01__sample47__promotion,3.6666666666666665,4.333333333333333,2.6666666666666665,2.6666666666666665,3.6666666666666665,4.5,2.0,4.5,2.0
48,promotion,Female,50–59,Postgraduate degree,Blue-collar worker,Living with parents,"36,000,000–45,000,000 VND",Chinese,1,5,1,5,2,3,3,5,4,1,3,4,2,3,3,3,4,5,4,2.0,3.0,4.0,1,deepseek-v2_236b_1.csv,deepseek-v2_236b,deepseek-v2_236b__run01__sample48__promotion,2.3333333333333335,3.3333333333333335,4.0,2.6666666666666665,2.6666666666666665,3.5,3.5,4.0,3.0
49,promotion,Male,>60,High school,Office worker,Single,"<15,000,000 VND",Chinese,2,5,2,4,3,3,3,3,4,3,3,1,5,1,4,4,5,3,4,2.0,3.0,3.0,1,deepseek-v2_236b_1.csv,deepseek-v2_236b,deepseek-v2_236b__run01__sample49__promotion,3.0,3.3333333333333335,3.3333333333333335,2.3333333333333335,3.3333333333333335,4.5,3.0,4.0,2.6666666666666665
50,promotion,Male,20–29,Postgraduate degree,Other,Divorced,"<15,000,000 VND",Chinese,2,2,4,2,5,3,3,3,2,5,5,1,2,2,4,3,4,4,5,1.0,2.0,3.0,1,deepseek-v2_236b_1.csv,deepseek-v2_236b,deepseek-v2_236b__run01__sample50__promotion,2.6666666666666665,3.3333333333333335,2.6666666666666665,3.6666666666666665,2.6666666666666665,3.5,2.5,4.0,2.0
51,promotion,Female,<20,Bachelor’s degree,Blue-collar worker,Married,"36,000,000–45,000,000 VND",Chinese,3,4,4,2,5,2,4,1,5,2,2,3,1,3,3,4,5,3,6,2.0,1.0,3.0,1,deepseek-v2_236b_1.csv,deepseek-v2_236b,deepseek-v2_236b__run01__sample51__promotion,3.6666666666666665,3.0,3.3333333333333335,2.3333333333333335,2.3333333333333335,4.5,2.0,4.5,2.0
52,promotion,Female,>60,Bachelor’s degree,Student,Married,"<15,000,000 VND",Chinese,1,2,5,3,3,5,3,4,1,2,2,1,3,4,4,4,5,4,3,2.0,1.0,3.0,1,deepseek-v2_236b_1.csv,deepseek-v2_236b,deepseek-v2_236b__run01__sample52__promotion,2.6666666666666665,3.6666666666666665,2.6666666666666665,1.6666666666666667,3.6666666666666665,4.5,2.0,4.0,2.0
53,promotion,Male,20–29,Bachelor’s degree,Blue-collar worker,Married,"<15,000,000 VND",Chinese,3,5,2,4,1,4,4,4,1,4,1,3,4,4,4,4,5,5,3,2.0,1.0,3.0,1,deepseek-v2_236b_1.csv,deepseek-v2_236b,deepseek-v2_236b__run01__sample53__promotion,3.3333333333333335,3.0,3.0,2.6666666666666665,4.0,4.5,2.0,4.25,2.0
54,promotion,Male,<20,High school,Managerial employee,Married,">46,000,000 VND",Chinese,2,2,4,4,1,1,4,3,1,5,2,5,2,1,3,3,4,4,5,2.0,2.0,3.0,1,deepseek-v2_236b_1.csv,deepseek-v2_236b,deepseek-v2_236b__run01__sample54__promotion,2.6666666666666665,2.0,2.6666666666666665,4.0,2.0,3.5,2.5,4.0,2.3333333333333335
55,promotion,Female,40–49,Postgraduate degree,Other,Single,"26,000,000–35,000,000 VND",Chinese,1,1,4,1,5,1,2,2,2,2,4,2,3,5,4,3,4,2,5,1.0,2.0,3.0,1,deepseek-v2_236b_1.csv,deepseek-v2_236b,deepseek-v2_236b__run01__sample55__promotion,2.0,2.3333333333333335,2.0,2.6666666666666665,4.0,3.5,2.5,3.5,2.0
56,promotion,Female,<20,Bachelor’s degree,Student,Single,"36,000,000–45,000,000 VND",Chinese,3,5,1,3,5,5,1,5,4,3,1,2,1,5,4,4,5,3,6,2.0,1.0,3.0,1,deepseek-v2_236b_1.csv,deepseek-v2_236b,deepseek-v2_236b__run01__sample56__promotion,3.0,4.333333333333333,3.3333333333333335,2.0,3.3333333333333335,4.5,2.0,4.5,2.0
57,promotion,Male,50–59,High school,Blue-collar worker,Living with parents,">46,000,000 VND",Chinese,2,2,1,5,3,4,3,5,2,4,1,5,3,2,3,3,4,3,5,1.0,2.0,3.0,1,deepseek-v2_236b_1.csv,deepseek-v2_236b,deepseek-v2_236b__run01__sample57__promotion,1.6666666666666667,4.0,3.3333333333333335,3.3333333333333335,2.6666666666666665,3.5,2.5,3.75,2.0
58,promotion,Male,30–39,Postgraduate degree,Student,Single,"16,000,000–25,000,000 VND",Chinese,1,1,4,4,1,4,3,3,5,1,1,5,4,1,1,3,4,3,5,2.0,3.0,4.0,1,deepseek-v2_236b_1.csv,deepseek-v2_236b,deepseek-v2_236b__run01__sample58__promotion,2.0,3.0,3.6666666666666665,2.3333333333333335,2.0,3.5,3.5,3.75,3.0
59,promotion,Female,40–49,High school,Student,Divorced,"16,000,000–25,000,000 VND",Chinese,1,4,1,3,5,1,4,5,3,1,3,1,4,5,4,3,4,3,5,2.0,3.0,3.0,1,deepseek-v2_236b_1.csv,deepseek-v2_236b,deepseek-v2_236b__run01__sample59__promotion,2.0,3.0,4.0,1.6666666666666667,4.333333333333333,3.5,3.0,3.75,2.6666666666666665
60,promotion,Male,20–29,Bachelor’s degree,Student,Divorced,"36,000,000–45,000,000 VND",Chinese,3,5,1,1,2,2,2,1,5,1,5,1,1,4,5,3,4,2,5,1.0,2.0,3.0,1,deepseek-v2_236b_1.csv,deepseek-v2_236b,deepseek-v2_236b__run01__sample60__promotion,3.0,1.6666666666666667,2.6666666666666665,2.3333333333333335,3.3333333333333335,3.5,2.5,3.5,2.0
61,promotion,Male,40–49,Bachelor’s degree,Managerial employee,Living with parents,"36,000,000–45,000,000 VND",Chinese,3,2,2,2,4,4,2,5,3,4,2,5,2,5,3,4,5,3,6,2.0,3.0,1.0,1,deepseek-v2_236b_1.csv,deepseek-v2_236b,deepseek-v2_236b__run01__sample61__promotion,2.3333333333333335,3.3333333333333335,3.3333333333333335,3.6666666666666665,3.3333333333333335,4.5,2.0,4.5,2.0
62,promotion,Female,<20,Bachelor’s degree,Civil servant,Divorced,"26,000,000–35,000,000 VND",Chinese,4,5,1,1,3,3,4,3,3,5,4,2,1,2,1,4,5,3,6,2.0,1.0,3.0,1,deepseek-v2_236b_1.csv,deepseek-v2_236b,deepseek-v2_236b__run01__sample62__promotion,3.3333333333333335,2.3333333333333335,3.3333333333333335,3.6666666666666665,1.3333333333333333,4.5,2.0,4.5,2.0
63,promotion,Female,>60,Bachelor’s degree,Other,Divorced,"16,000,000–25,000,000 VND",Chinese,3,4,5,2,4,5,3,3,3,1,3,4,1,5,1,3,4,5,2,1.0,2.0,3.0,1,deepseek-v2_236b_1.csv,deepseek-v2_236b,deepseek-v2_236b__run01__sample63__promotion,4.0,3.6666666666666665,3.0,2.6666666666666665,2.3333333333333335,3.5,2.5,3.5,2.0
64,promotion,Female,30–39,Bachelor’s degree,Student,Divorced,"36,000,000–45,000,000 VND",Chinese,4,4,4,2,2,1,2,2,1,1,4,5,1,5,2,3,4,5,6,2.0,3.0,4.0,1,deepseek-v2_236b_1.csv,deepseek-v2_236b,deepseek-v2_236b__run01__sample64__promotion,4.0,1.6666666666666667,1.6666666666666667,3.3333333333333335,2.6666666666666665,3.5,3.5,4.5,3.0
65,promotion,Female,50–59,Postgraduate degree,Civil servant,Divorced,"26,000,000–35,000,000 VND",Chinese,1,4,1,3,4,5,4,2,1,1,3,3,2,2,5,3,4,5,6,2.0,3.0,4.0,1,deepseek-v2_236b_1.csv,deepseek-v2_236b,deepseek-v2_236b__run01__sample65__promotion,2.0,4.0,2.3333333333333335,2.3333333333333335,3.0,3.5,3.5,4.5,3.0
66,promotion,Female,>60,Postgraduate degree,Blue-collar worker,Living with parents,"26,000,000–35,000,000 VND",Chinese,3,2,2,5,1,5,4,3,5,5,5,4,3,5,3,3,4,2,5,1.0,2.0,3.0,1,deepseek-v2_236b_1.csv,deepseek-v2_236b,deepseek-v2_236b__run01__sample66__promotion,2.3333333333333335,3.6666666666666665,4.0,4.666666666666667,3.6666666666666665,3.5,2.5,3.5,2.0
